latitude,longitude,no2,city
28.61,77.20,0.00095,Delhi
19.07,72.87,0.00063,Mumbai
26.45,80.33,0.00180,Kanpur
22.57,88.36,0.00071,Kolkata
23.02,72.57,0.00052,Ahmedabad
18.52,73.85,0.00048,Pune
13.08,80.27,0.00039,Chennai
17.38,78.48,0.00058,Hyderabad
21.16,81.38,0.00031,Raipur
25.59,85.13,0.00042,Patna
27.18,78.01,0.00155,Agra
26.85,80.94,0.00042,Lucknow
25.37,68.36,0.00025,Hyderabad (PK)
31.55,74.34,0.00089,Lahore
30.73,76.78,0.00078,Chandigarh
28.68,77.13,0.00162,Gurugram
28.97,77.71,0.00134,Meerut
12.97,77.59,0.00037,Bengaluru
22.72,75.86,0.00029,Indore
24.58,73.68,0.00022,Udaipur
